1,architecture,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
2,nature,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
3,fantasy,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
4,interior,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
5,figure,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
6,free,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
7,historical,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
8,face,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
9,view,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
10,urban,2021-12-19 15:27:21.732+01,2021-12-19 15:27:21.732+01
